date,name,value
2021-01-04,LBP,1512.34442
2021-01-04,LKR,186.914114
2021-01-04,LRD,164.398454
2021-01-04,LSL,14.593234
2021-01-04,LTL,2.95274
2021-01-04,LVL,0.60489
2021-01-04,LYD,1.334978
2021-01-04,MAD,8.859502
2021-01-04,MDL,17.142102
2021-01-04,MGA,3894.999557
2021-01-04,MKD,50.296112
2021-01-04,MMK,1327.39001
2021-01-04,MNT,2848.871657
2021-01-04,MOP,7.981364
2021-01-04,MRO,356.999828
2021-01-04,MUR,39.403281
2021-01-04,MVR,15.410292
2021-01-04,MWK,772.999842
2021-01-04,MXN,19.94495
2021-01-04,MYR,4.006503
2021-01-04,MZN,74.910177
2021-01-04,NAD,14.59346
2021-01-04,NGN,381.000437
2021-01-04,NIO,34.98019
2021-01-04,NOK,8.557495
2021-01-04,NPR,116.785923
2021-01-04,NZD,1.393265
2021-01-04,OMR,0.38501
2021-01-04,PAB,0.99952
2021-01-04,PEN,3.645101
2021-01-04,PGK,3.509852
2021-01-04,PHP,48.010193
2021-01-04,PKR,159.819944
2021-01-04,PLN,3.720494
2021-01-04,PYG,6913.682636
2021-01-04,QAR,3.640984
2021-01-04,RON,3.975003
2021-01-04,RSD,95.959623
2021-01-04,RUB,74.510402
2021-01-04,RWF,972.5
2021-01-04,SAR,3.751308
2021-01-04,SBD,8.047136
2021-01-04,SCR,21.204664
2021-01-04,SDG,55.298965
2021-01-04,SEK,8.25063
2021-01-04,SGD,1.32059
2021-01-04,SHP,0.736916
2021-01-04,SLL,10129.999655
2021-01-04,SOS,583.497745
2021-01-04,SRD,14.153981
2021-01-04,STD,20834.863349
2021-01-04,SVC,8.745498
2021-01-04,SYP,512.822036
2021-01-04,SZL,14.604859
2021-01-04,THB,29.919968
2021-01-04,TJS,11.322313
2021-01-04,TMT,3.51
2021-01-04,TND,2.68701
2021-01-04,TOP,2.27355
2021-01-04,TRY,7.426502
2021-01-04,TTD,6.758735
2021-01-04,TWD,28.115957
2021-01-04,TZS,2317.949719
2021-01-04,UAH,28.430253
2021-01-04,UGX,3678.266526
2021-01-04,USD,1.0
2021-01-04,UYU,42.335838
2021-01-04,UZS,10453.999944
2021-01-04,VEF,9.987502
2021-01-04,VND,23080.0
2021-01-04,VUV,108.495805
2021-01-04,WST,2.521817
2021-01-04,XAF,533.354745
2021-01-04,XAG,0.036815
2021-01-04,XAU,0.000515
2021-01-04,XCD,2.70255
2021-01-04,XDR,0.69397
2021-01-04,XOF,534.000252
2021-01-04,XPF,97.549639
2021-01-04,YER,250.350426
2021-01-04,ZAR,14.7026
2021-01-04,ZMK,9001.202768
2021-01-04,ZMW,21.162959
2021-01-04,ZWL,322.000186
2021-01-05,AED,3.673203
